Step Id,Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
3,2,4294967295,47371,358,aclnnInplaceZero_ZerosLikeAiCore_ZerosLike,ZerosLike,dynamic,AI_VECTOR_CORE,1768879418911251.850	,5751.740,0,48,0,NO,"""2176401920""",FLOAT,ND,"""2176401920""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5694.898,492039168,435.466,0.076,82.707,0.015,0.001,0.0,5679.501,0.997,0.0,0.000
3,2,4294967295,47384,358,aclnnEmbedding_GatherV2AiCore_GatherV2,GatherV2,dynamic,AI_VECTOR_CORE,1768879418918742.450	,87.340,1739.010000,48,0,NO,"""152064,3584;1,4096;1""",DT_BF16;INT64;INT64,ND;ND;ND,"""1,4096,3584""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.55,6354732,0.347,0.005,2.589,0.035,65.657,0.893,12.646,0.172,0.038,0.000
3,2,4294967295,47385,358,aclnnMuls_Muls_Muls,Muls,dynamic,AI_VECTOR_CORE,1768879418918941.730	,27.600,111.910000,48,0,NO,"""1,4096,3584""",DT_BF16,NCL,"""1,4096,3584""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.161,2260335,9.335,0.357,0.979,0.037,16.212,0.62,16.535,0.632,0.017,0.000
3,2,4294967295,47386,358,aclnnArange_ArangeAiCore_Range,Range,dynamic,AI_VECTOR_CORE,1768879418919185.290	,9.460,215.900000,48,0,NO,""";;""",DOUBLE;DOUBLE;DOUBLE,ND;ND;ND,"""4096""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.243,453004,0.082,0.016,0.377,0.072,0.124,0.024,0.256,0.049,0.195,0.000
3,2,4294967295,47387,358,aclnnAdds_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1768879418919315.210	,1.820,120.540000,4,0,NO,"""4096;""",FLOAT;FLOAT,ND;ND,"""4096""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082,7788,0.032,0.03,0.273,0.253,0.215,0.199,0.141,0.13,0.217,0.000
3,2,4294967295,47388,358,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1768879418919329.090	,12.460,11.930000,48,0,NO,"""4096,1;64""",FLOAT;FLOAT,ND;ND,"""4096,64""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.332,719850,0.509,0.061,1.164,0.14,0.392,0.047,0.737,0.088,0.171,0.000
3,2,4294967295,47389,358,aclnnCat_ConcatD_ConcatD,ConcatD,dynamic,AI_VECTOR_CORE,1768879418919451.930	,7.320,110.540000,22,0,NO,"""4096,64;4096,64""",FLOAT;FLOAT,ND;ND,"""4096,128""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.442,215522,0.234,0.043,0.506,0.093,0.957,0.176,1.294,0.238,0.193,0.000
3,2,4294967295,47390,358,RmsNorm,RmsNorm,dynamic,AI_VECTOR_CORE,1768879418919876.810	,65.760,417.430000,48,0,NO,"""4096,1,3584;3584""",DT_BF16;DT_BF16,ND;ND,"""4096,1,3584;4096,1,1""",DT_BF16;FLOAT,ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.075,5276854,38.672,0.633,26.411,0.432,14.353,0.235,15.055,0.246,0.008,0.000
3,2,4294967295,47391,358,aclnnMatmul_MatMulV3Common_MatMulV3,MatMulV3,dynamic,AI_CORE,1768879418920197.030	,455.000,254.490000,24,0,NO,"""4096,3584;4608,3584""",DT_BF16;DT_BF16,ND;ND,"""4096,4608""",DT_BF16,ND,N/A,447.6,19336327,383.744,0.857,184.078,0.411,305.605,0.683,416.364,0.93,74.077,0.165,0.001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.374
3,2,4294967295,47392,358,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1768879418920652.050	,37.260,0.000000,48,0,NO,"""4096,1,4608;4608""",DT_BF16;DT_BF16,NCL;ND,"""4096,1,4608""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.602,2989577,19.046,0.55,6.471,0.187,16.188,0.468,17.294,0.5,0.014,0.000
