Step Id,Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
3,6,4294967295,53934,6,aclnnInplaceZero_ZerosLikeAiCore_ZerosLike,ZerosLike,dynamic,AI_VECTOR_CORE,1768879465851391.080	,5729.340,0,48,0,NO,"""2176405504""",FLOAT,ND,"""2176405504""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5695.007,492048625,435.467,0.076,80.705,0.014,0.001,0.0,5679.969,0.997,0.0,0.000
3,6,4294967295,N/A,N/A,hcom_batchSendRecv__370_0_1,hcom_batchSendRecv_,N/A,COMMUNICATION,1768879465857682.660	,191255.060,562.410000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,6,4294967295,53950,6,aclnnArange_ArangeAiCore_Range,Range,dynamic,AI_VECTOR_CORE,1768879466050635.040	,8.940,1697.190000,48,0,NO,""";;""",DOUBLE;DOUBLE;DOUBLE,ND;ND;ND,"""4096""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.948,427520,0.082,0.017,0.378,0.076,0.124,0.025,0.263,0.053,0.21,0.000
3,6,4294967295,53951,6,aclnnAdds_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1768879466050658.500	,2.060,14.560000,4,0,NO,"""4096;""",FLOAT;FLOAT,ND;ND,"""4096""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.261,9078,0.032,0.026,0.343,0.272,0.264,0.21,0.157,0.125,0.189,0.000
3,6,4294967295,53952,6,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1768879466050729.040	,12.180,68.440000,48,0,NO,"""4096,1;64""",FLOAT;FLOAT,ND;ND,"""4096,64""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.285,715817,0.507,0.061,1.17,0.141,0.567,0.068,0.718,0.087,0.193,0.000
3,6,4294967295,53953,6,aclnnCat_ConcatD_ConcatD,ConcatD,dynamic,AI_VECTOR_CORE,1768879466050773.500	,8.000,32.320000,22,0,NO,"""4096,64;4096,64""",FLOAT;FLOAT,ND;ND,"""4096,128""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.209,245875,0.234,0.038,0.465,0.075,1.27,0.205,1.271,0.205,0.188,0.000
3,6,4294967295,53954,6,RmsNorm,RmsNorm,dynamic,AI_VECTOR_CORE,1768879466051085.520	,100.440,304.000000,48,0,NO,"""4096,1,3584;3584""",DT_BF16;DT_BF16,ND;ND,"""4096,1,3584;4096,1,1""",DT_BF16;FLOAT,ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.801,8190812,38.671,0.408,26.028,0.275,50.302,0.531,14.651,0.155,0.008,0.000
3,6,4294967295,53955,6,aclnnMatmul_MatMulV3Common_MatMulV3,MatMulV3,dynamic,AI_CORE,1768879466051361.300	,455.260,175.310000,24,0,NO,"""4096,3584;4608,3584""",DT_BF16;DT_BF16,ND;ND,"""4096,4608""",DT_BF16,ND,N/A,445.555,19247977,383.803,0.861,183.428,0.412,305.41,0.685,415.048,0.932,74.056,0.166,0.001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.868
3,6,4294967295,53956,6,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1768879466051816.600	,38.140,0.000000,48,0,NO,"""4096,1,4608;4608""",DT_BF16;DT_BF16,NCL;ND,"""4096,1,4608""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.309,3050723,19.041,0.539,6.472,0.183,17.91,0.507,16.27,0.461,0.014,0.000
3,6,4294967295,53957,6,aclnnInplaceCopy_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1768879466051854.760	,30.300,0.110000,48,0,NO,"""4096,4,1152;3;3""",DT_BF16;INT64;INT64,NCHW;ND;ND,"""4096,4,896""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.211,2178211,0.008,0.0,0.712,0.028,16.273,0.645,16.7,0.662,0.067,0.000
